Aatrox,Male,Top,Darkin,Blood,None,Noxus
Ahri,Female,Middle,Vastaya,Mana,Ranged,Ionia
Akali,Female,Middle,Kinkou,Energy,Melee,Ionia
Alistar,Male,Support,Minotaur,Mana,Melee,Runeterra
Amumu,Male,Jungle,Yordle,Mana,Melee,Shurima
Anivia,Female,Middle,Cryophoenix,Mana,Ranged,Freljord
Annie,Female,Middle,Yordle,Mana,Ranged,Noxus
Aphelios,Male,ADC,Targonian,Mana,Ranged,Targon
Ashe,Female,ADC,Freljord,Mana,Ranged,Freljord
Aurelion Sol,Male,Middle,Dragon,Mana,Ranged,Targon
Azir,Male,Middle,Shuriman,Mana,Ranged,Shurima
Bard,Male,Support,Caretaker,Mana,Ranged,Runeterra
Blitzcrank,Male,Support,Steam Golem,Mana,Melee,Zaun
Brand,Male,Middle,Human,Mana,Ranged,Runeterra
Braum,Male,Support,Freljord,Mana,Melee,Freljord
Caitlyn,Female,ADC,Human,Mana,Ranged,Piltover
Camille,Female,Top,Hextech,Mana,Melee,Piltover
Cassiopeia,Female,Middle,Human,Mana,Ranged,Noxus
Cho'Gath,Male,Top,Void,Mana,Melee,Runeterra
Corki,Male,ADC,Yordle,Mana,Ranged,Bandle City
Darius,Male,Top,Noxian,Mana,Melee,Noxus
Diana,Female,Middle,Lunari,Mana,Melee,Mount Targon
Dr. Mundo,Male,Top,Human,Health,Melee,Zaun
Draven,Male,ADC,Human,Mana,Ranged,Noxus
Ekko,Male,Middle,Human,Mana,Melee,Zaun
Elise,Female,Jungle,Human,Mana,Melee,Shadow Isles
Evelynn,Female,Jungle,Demon,Mana,Melee,Shadow Isles
Ezreal,Male,ADC,Human,Mana,Ranged,Piltover
Fiddlesticks,Male,Jungle,Unknown,Mana,Ranged,Runeterra
Fiora,Female,Top,Human,Mana,Melee,Demacia
Fizz,Male,Middle,Yordle,Mana,Melee,Bilgewater
Galio,Male,Middle,Gargoyle,Mana,Melee,Demacia
Gangplank,Male,Top,Human,Mana,Melee,Bilgewater
Garen,Male,Top,Human,None,Melee,Demacia
Gnar,Male,Top,Yordle,None,Melee,Freljord
Gragas,Male,Jungle,Human,Mana,Melee,Freljord
Graves,Male,Jungle,Human,None,Ranged,Shadow Isles
Hecarim,Male,Jungle,Shadow of War,Mana,Melee,Shadow Isles
Heimerdinger,Male,Top,Yordle,Mana,Ranged,Piltover
